;Priezvisko;Meno;Email;Stredná škola;Stredná škola (adresa);Bydlisko - ulica;PSÈ;Bydlisko - obec
15;Deveèka;Koloman;email15@gmail.com;Stredná odborná škola obchodu a sluieb;Nové Mesto nad Váhom, Piešanská 2262/80, 91501;Ivanovce 1;91305;Ivanovce
16;Dolealová;Zoja;email16@gmail.com;Gymnázium;Povaská Bystrica, Školská 234/8, 01701;Rieèna 1;2001;Hrabovka
17;Dorko;Tibor;email17@gmail.com;Gymnázium ¼udovíta Štúra;Zvolen, Hronská 1467/3, 96049;Neresnická 1;96261;Dobrá Niva
18;Droppa;Miloslav;email18@gmail.com;Gymnázium;Vranov nad Top¾ou, Dr. C. Daxnera 88/3, 09380;Vyšnı ipov 1;9433;Vyšnı ipov
19;Dudiková;Iveta;email19@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petralka, Hálova 16, 85101;Hranièiarska 1;85110;Bratislava - Èunovo
20;Ïuricová;Olívia;email20@gmail.com;Gymnázium Pavla Horova;Michalovce, Masarykova 1, 07179;Hradská 1;7215;Budkovce
21;Ïurka;Svetozár;email21@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petralka, Hálova 16, 85101;Jasovská 1;85107;Bratislava
22;Ïurová;Jela;email22@gmail.com;Gymnázium;Vranov nad Top¾ou, Dr. C. Daxnera 88/3, 09380;Puškinova 1;9303;Èemerné
23;Fajnor;Bohumil;email23@gmail.com;Gymnázium;Stropkov, Konštantínova 64, 09101;Breznica 1;9101;Stropkov
24;Gál;Marcel;email24@gmail.com;Gymnázium;Vranov nad Top¾ou, Dr. C. Daxnera 88/3, 09380;Majerovce 1;9409;Majerovce
25;Gavenda;Bohuš;email25@gmail.com;Gymnázium ¼udovíta Štúra;Zvolen, Hronská 1467/3, 96049;¼. Štúra 1;96001;Zvolen
26;Gavendová;Sláva;email26@gmail.com;Gymnázium Milana Rúfusa;iar nad Hronom, J. Kollára 2, 96501;Janova Lehota 1;96624;Janova Lehota
27;Greguš;Mikuláš;email27@gmail.com;Spojená škola cirkevná-Gymnázium sv. Cyrila a Metoda;Humenné, Duchnovièova 24, 06601;¼ubiša 1;6711;¼ubiša
28;Habdušová;Elvíra;email28@gmail.com;Gymnázium;Bratislava-Ruinov, Metodova 2, 82108;Konopná 1;90025;Èierna Voda
29;Hagarová;Margita;email29@gmail.com;Gymnázium;Ruomberok, Š. Moyzesa 21, 03401;Vavra Šrobára 1;3401;Ruomberok
30;Haòušková;Blanka;email30@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petralka, Hálova 16, 85101;Parková 1;90042;Albetin Dvor
31;Harvánek;Ervín;email31@gmail.com;Stredná priemyselná škola strojnícka;Bratislava-Staré Mesto, Fajnorovo nábreie 5, 81475;Stromová 1;90101;Malacky
32;Hlaváèiková;Petronela;email32@gmail.com;Stredná odborná škola sv. Jozefa Robotníka;ilina, Saleziánska 18, 01001;Drustevná 1;1004;Bánová
33;Hoza;Mário;email33@gmail.com;Gymnázium;Snina, Študentská 4, 06901;Parková 1;6761;Stakèín
34;Husák;Miroslav;email34@gmail.com;Gymnázium;Myjava, Jablonská 5, 90701;SNP 1;91601;Stará Turá
35;Janèek;Félix;email35@gmail.com;Spojená škola-Stredná priemyselná škola elektrotechnická S. A. Jedlika;Nové Zámky, Komáròanská 28, 94075;Zemné 1;94122;Zemné
36;Jantošoviè;Karol;email36@gmail.com;Spojená škola-Gymnázium Jura Hronca;Bratislava-Ruinov, Novohradská 3, 82109;Suché Miesto 1;90025;Chorvátsky Grob
37;Junás;Oldrich;email37@gmail.com;Stredná priemyselná škola;Dubnica nad Váhom, Obrancov mieru 343/1, 01841;Farská 1;1861;Beluša
38;Kolár;Teodor;email38@gmail.com;Stredná priemyselná škola elektrotechnická;Prešov, Plzenská 1, 08047;Šarišské Jastrabie 1;6548;Šarišské Jastrabie
39;Kolník;Teodor;email39@gmail.com;Spojená škola-Gymnázium Jura Hronca;Bratislava-Ruinov, Novohradská 3, 82109;Štefana Králika 1;84108;Bratislava
40;Krajèová;Silvia;email40@gmail.com;Stredná odborná škola elektrotechnická;Poprad, Hlavná 1400/1, 05951;Vlkovce 1;5971;Vlkovce
41;Kubecová;Drahoslava;email41@gmail.com;Gymnázium Matky Alexie;Bratislava-Staré Mesto, Jesenského 4/A, 81102;A.Dubèeka 1;90301;Senec
42;Martinek;Martin;email42@gmail.com;Súkromná stredná odborná škola podnikania;Senica, Hollého 1380, 90501;J.Mudrocha 1;90501;Sotina
43;Maslo;Svätopluk;email43@gmail.com;Gymnázium ¼udovíta Štúra;Zvolen, Hronská 1467/3, 96049;Centrum 1;96001;Zvolen
44;Melicher;Beòadik;email44@gmail.com;Gymnázium Hansa Selyeho s vyuèovacím jazykom maïarskım;Komárno, Biskupa Királya 5, 94501;Ve¾ké Ludince 1;93565;Ve¾ké Ludince
45;Michalko;Peter;email45@gmail.com;Elektrotechnicka a stavebna škola 'Nikola Tesla';Narodnog Fronta 1, 23000 Zrenjanin;Ive Lole Ribara 1;26215;Padina
46;Mrazko;Bystrík;email46@gmail.com;Spojená škola sv. Františka z Assisi-Gymnázium sv. Františka z Assisi;Bratislava-Karlova Ves, Karloveská 32, 84104;¼udovíta Fullu 1;84105;Bratislava
47;Novák;Zdenko;email47@gmail.com;Stredná odborná škola technická;Šurany, Nitrianska 61, 94201;Lipová 1;94110;Tvrdošovce
48;Palo;Roman;email48@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petralka, Hálova 16, 85101;Kostolná pri Dunaji 1;90301;Kostolná pri Dunaji
49;Pa¾ov;Róbert;email49@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petralka, Hálova 16, 85101;Kadnárova 1;83151;Bratislava - Raèa
50;Paulik;Viliam;email50@gmail.com;Stredná priemyselná škola;Dubnica nad Váhom, Obrancov mieru 343/1, 01841;Dolná Súèa 1;91332;Dolná Súèa
51;Pavlièek;Severín;email51@gmail.com;Stredná odborná škola informaènıch technológií;Bratislava-Raèa, Hlinícka 1, 83152;Sokolská 1;90872;Závod
52;Pavúk;Belo;email52@gmail.com;Gymnázium Ivana Horvátha;Bratislava-Ruinov, Ivana Horvátha 14, 82103;Lotyšská 1;82106;Bratislava - Podunajské Biskupice
53;Petruška;Marek;email53@gmail.com;Stredná priemyselná škola;Bardejov, Komenského 5, 08542;Vaniškovce 1;8641;Vaniškovce
54;Šimko;Viktor;email54@gmail.com;Spojená škola-Športové gymnázium;Nitra, Slanèíkovej 2, 95050;Narcisová 1;94901;Nitra
55;Škantár;Blaej;email55@gmail.com;Stredná odborná škola technická;Michalovce, Partizánska 1, 07192;Jovsa 1;7232;Jovsa
56;Višòovskı;Dobroslav;email56@gmail.com;Spojená škola-Športové gymnázium;Nitra, Slanèíkovej 2, 95050;Chme¾ová dolina 1;94901;Zobor
